NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名
0,Focused,李大傻
1,Related,孙中山
2,Related,蔡志民
3,Related,伍伯胜
4,Focused,伍连德
5,Related,陈梦桃
6,Related,徐统雄
7,Related,陈瑞麟
8,Focused,杨缵文
9,Related,林忠国
10,Focused,林义顺
11,Related,陈烈三
12,Related,符和谦
13,Related,林耀翔
14,Focused,张永福
15,Related,胡愈之
16,Related,池传楹
17,Related,陈岳书
18,Related,涂开舆
19,Related,马徽祥
20,Focused,李光前
21,Related,李玉荣
22,Related,李成义
23,Related,李成伟
24,Related,刘牡丹
25,Focused,周献瑞
26,Focused,黄奕欢
27,Related,高云览
28,Focused,何葆仁
29,Related,陈森茂
30,Related,王锦良
31,Related,叶清沙
32,Focused,陈嘉庚
33,Focused,陈六使
34,Related,陈敬贤
35,Related,陈笃山
36,Related,陈赐曲
37,Related,陈共存
38,Related,陈丽好
39,Related,陈万安
40,Related,叶玉堆
41,Related,林汉河
42,Related,陈爱礼
43,Related,吴瑞甫
44,Related,陈杞柏
45,Focused,陈延谦
46,Related,蒋骥甫
47,Related,赖琼瑶
48,Related,庄希泉
49,Related,林庆年
50,Focused,胡少炎
51,Focused,林惠祥
52,Focused,陈维龙
53,Focused,林邦彦
54,Related,史联对
55,Focused,陈育崧
56,Focused,林文庆
57,Focused,陈武烈
58,Related,杨骚
59,Related,吴应隆
60,Focused,吴寿珍
61,Related,薛永黍
62,Related,洪丝丝
63,Related,王源兴
64,Focused,侯西反
65,Related,李约瑟
66,Focused,白清泉
67,Focused,蔡金吉
68,Focused,蔡金钟
69,Focused,曹亚志
70,Focused,陈成宝
71,Focused,陈楚楠
72,Focused,陈笃生
73,Focused,陈恭锡
74,Focused,陈金声
75,Focused,陈金钟
76,Focused,陈明水
77,Focused,陈齐贤
78,Focused,陈人浩
79,Focused,陈若锦
80,Focused,陈诗武
81,Focused,陈思敏
82,Focused,陈送
83,Focused,陈泰
84,Focused,陈旭年
85,Focused,陈延反
86,Focused,陈仰安
87,Focused,陈永锡
88,Focused,陈永裕
89,Focused,陈振传
90,Focused,陈之初
91,Focused,陈宗瑞
